id,userid
Jay_janoff,2075574834
Jay_jannoff,1285975410
AbdulazizOrinov,1054132889
,1747078487
gulziybatilepbaeva21_05,1835973680
,1676903873
,940658482
akramova_017,1833495758
sluwayu,692873826
,1802386712
navoidan,2002771143
,2121602938
,509514689
,258704421
,1186303689
T_Sugdiyona,1856713239
,5045952039
,5095667340
,1798217995
D_Rakhmatullayevna,1458490036
Sofiyabonu_5454,1053590293
,720835216
R_05_Sh_07,962030762
BMShZuxriddin,1828475996
shahnozaansorova,1053603931
,1025424156
,817562118
,1174997533
Z300402,1771229257
Bemln,807323022
BPM0897M,2111322247
,767146614
,842029278
Saidova01,5097842829
